index,timestamp,power.draw [W],utilization.gpu [%],utilization.memory [%],memory.total [MiB],memory.used [MiB],memory.free [MiB]
7,2023/10/18 17:40:48.301,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:48.407,66.07,0,0,81920,4,81046
1,2023/10/18 17:40:48.414,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:48.420,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:48.427,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:48.432,63.52,0,0,81920,4,81046
5,2023/10/18 17:40:48.441,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:48.450,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:48.459,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:48.563,65.74,0,0,81920,4,81046
1,2023/10/18 17:40:48.571,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:48.579,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:48.588,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:48.595,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:48.603,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:48.610,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:48.616,62.37,0,0,81920,4,81046
0,2023/10/18 17:40:48.723,65.74,0,0,81920,4,81046
1,2023/10/18 17:40:48.731,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:48.737,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:48.743,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:48.750,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:48.758,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:48.766,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:48.775,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:48.881,65.74,0,0,81920,4,81046
1,2023/10/18 17:40:48.889,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:48.897,62.85,0,0,81920,4,81046
3,2023/10/18 17:40:48.907,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:48.915,63.52,0,0,81920,4,81046
5,2023/10/18 17:40:48.922,63.65,0,0,81920,4,81046
6,2023/10/18 17:40:48.932,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:48.940,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:49.047,65.74,0,0,81920,4,81046
1,2023/10/18 17:40:49.053,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:49.062,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:49.069,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:49.075,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:49.083,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:49.090,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:49.098,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:49.203,65.74,0,0,81920,4,81046
1,2023/10/18 17:40:49.211,62.85,0,0,81920,4,81046
2,2023/10/18 17:40:49.218,62.85,0,0,81920,4,81046
3,2023/10/18 17:40:49.225,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:49.233,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:49.237,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:49.244,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:49.253,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:49.362,65.74,0,0,81920,4,81046
1,2023/10/18 17:40:49.369,62.51,0,0,81920,4,81046
2,2023/10/18 17:40:49.376,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:49.383,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:49.390,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:49.397,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:49.402,64.60,0,0,81920,4,81046
7,2023/10/18 17:40:49.410,62.04,0,0,81920,4,81046
